Sample No. ,Applied Load )psf),Initial Dry Unit Weight (pcf),Initial Moisture (%),Initial Saturation (%),Final Dry Unit Weight (pcf),Final Moisture (%),Final Saturation (%),Percent Collapse (%)
1,500,98.7,25.4,96.9,99,27.3,100,0
2,1000,94.3,7.5,25.7,95.3,28,98.4,0.1
3,1000,108,18.9,90.9,109.5,20.1,100,0.1
4,200,94.3,16.9,57.9,94.9,23.9,82.9,0.1
5,200,97.5,15.4,57.1,98,22.2,83.2,0.1
6,1600,90.7,9.3,29.2,92.5,24.2,79.6,0.2
7,500,96.7,19.2,69.9,99,23.9,91.8,0.2
8,2000,112.6,12.4,67.3,114.7,14.6,83.9,0.3
9,500,99.5,21.5,83.5,101.6,22.2,90.8,0.4
10,2000,103.5,7.7,33.2,106.7,18.5,85.9,0.5
11,1000,94.619,15.01,53.36,96.474,20.3,75.58,0.5
12,800,101.3,15.8,64.2,106.1,22.8,100,0.6
13,1000,95.371,14.76,53.48,94.596,19.9,70.73,0.6
14,1000,97.406,15.78,60.15,97.697,21.3,81.79,0.6
15,800,103.4,9.2,39.5,104.8,24.2,100,0.7
16,500,94.8,20.7,71.7,97,22.7,83.1,0.7
17,500,97.62,10.5,40.35,96.01,25.7,94.67,0.7
18,1000,112.838,14.78,84.48,114.894,14.98,90.77,0.7
19,2000,99.75,2.2,8.72,99.89,19.4,78.67,0.8
20,2000,90.5,11.6,36.4,95.4,21.9,77,0.8
21,500,103,6.9,29.3,104.8,20.5,91.2,0.8
22,2000,94.2,7,24.1,97.6,22,81.7,0.9
23,1500,92.48,6.9,23.44,94.34,23.7,83.51,1
24,1000,92.5,9.3,30.6,94.9,28.6,99.4,1
25,500,89.3,7.1,22.04,88.49,28.4,86.94,1.1
26,1000,98,3.6,13.6,99.6,24.7,96.4,1.1
27,2000,96.1,10.6,37.8,100.2,22,87,1.2
28,1200,86.7,13.8,39.4,89.6,23.5,71.8,1.3
29,500,102.6,4.3,18.1,105.4,18.5,83.2,1.3
30,1600,103.5,15.5,66.7,106.7,22.7,100,1.4
31,500,92.8,16.7,55.1,96,23.8,85.2,2
32,2000,90.5,2.8,8.9,100,21.9,86.3,2.1
33,2000,103.7,4.1,17.9,108,16.8,80.7,2.2
34,2000,95.2,3.2,11.2,98.3,22.7,85.7,2.2
35,4000,109.1,13.7,68.1,113.8,16.5,92.6,2.3
36,1600,93.8,5.5,18.5,98.4,21,79.5,2.4
37,1200,91.7,8.4,27.1,96.5,21.8,78.9,2.4
38,500,94,16.5,56.3,97.2,22.3,82.1,2.4
39,1000,91.3,5.9,18.8,97,23.7,87,2.4
40,1500,97.4,3.5,13.1,101.1,19.8,82.4,2.5
41,1500,89.499,6.89,21.61,93.049,23.6,80.71,2.7
42,2000,94.561,11.44,40.6,104.589,17.55,80.36,2.7
43,500,102.4,5.3,22.2,106.4,16.9,78.1,2.7
44,1600,90.1,5.2,16.3,93.9,24.3,82.5,2.8
45,1000,93.1,2.1,7,97.2,24.3,89.5,2.9
46,1000,105.94,3.2,15.07,93.69,23.7,82.51,3
47,2000,95.645,5.13,18.72,99.456,18.98,76.18,3
48,1000,88.6,5.2,15.5,93.9,21.1,71.7,3.2
49,2000,96.6,5.6,20.3,101.7,20.4,83.6,3.2
50,1500,97.2,6.1,22.4,102.1,21.8,90.3,3.3
51,1000,93.5,3.8,12.98,96.19,23.9,88.27,3.4
52,2000,93.7,3.8,12.8,99.4,22.9,89.2,3.7
53,1500,90.8,3.5,11.3,97.6,19.4,74,3.9
54,2000,103.19,6.2,27.45,108.12,17.4,87.54,3.9
55,2000,96.1,5.8,20.7,105.1,18.5,82.8,4.2
56,2000,88.7,3.5,10.4,95.3,24.9,87.3,4.2
57,1000,97.4,4.1,15.8,102.42,18,77.78,4.3
58,500,91,7.3,23.3,96.3,25.4,91.3,4.5
59,2000,93.2,9.2,30.8,100.1,21.2,83.6,4.5
60,2000,87.8,6.4,18.8,95.4,26.8,94.5,4.6
61,2000,94.7,9.5,32.8,102.6,20.6,86.8,4.7
62,1000,91.3,6.4,20.5,98.6,24.5,93.1,5.1
63,1200,80.1,8.2,20,91.5,25.4,81.6,5.3
64,2000,97.8,4.2,15.6,109,18.6,92.2,5.4
65,1600,84.8,17.5,47.9,93.8,27.6,93.7,5.7
66,2000,82.9,13.9,36.3,94.7,31.5,100,5.7
67,2000,81.9,15.2,38.7,94.3,30.8,100,5.7
68,2000,93.2,9.2,30.8,104.4,21,85.6,5.7
69,2000,101.8,5.3,21.9,110.4,22,100,6.2
70,2000,87,3,8.7,96.9,24,87.5,6.4
71,1200,90.5,7.3,22.8,100.4,21.9,87.4,6.5
72,2000,90.5,3.6,11.2,101.9,20.3,83.9,6.9
73,2000,85.106,5,14.1,95.141,22.32,80.39,7.5
74,2000,98.1,2.7,10,108.5,19.2,93.7,7.5
75,1500,97.33,3.8,14.64,107.84,16.8,83.84,8.1
76,1000,85.73,2.9,8.31,93.8,25.3,87.99,8.3
77,2000,92.1,5.7,18.4,103.5,21.1,90.5,8.6
78,2000,91,3.6,11.3,103.8,19.6,85,8.7
79,2000,95.3,2.5,8.7,108.2,19.6,94.8,9
80,1600,91.7,4.6,14.9,104.1,20.1,87.9,9.2
81,2000,83.1,3.6,9.4,95.8,21,74.7,9.5
82,1600,84.8,3.9,10.6,98.4,21.4,81.2,11.6
83,2000,90.6,4.5,13.4,108,18.9,90.7,12.6
84,1200,87.1,3.8,11.1,101.2,22.1,89.7,12.8
85,1000,84.3,7.5,20.2,98.9,23.4,89.7,12.9
86,1500,79.4,12.1,29.1,95.8,26.9,95.8,13.5
